LI_0,LI_1,LI_2,LI_3,LI_4,LI_5,LI_6,LI_7,LI_8,LI_9,LI_10,LI_11,LI_12,LI_13,LI_14,LI_15,LI_16,LI_17,LI_18,LI_19,LI_20,LI_21,LI_22,LI_23,LI_24,LI_25,LI_26,LI_27,LI_28,LI_29,LI_30,LI_31,LI_32,LI_33
549.05638579951,752.876203394485,1007.087894507393,1052.250999514371,68.30529965991539,587.804118983005,443.313692314252,126.740340587218,457.450080165782,43.2929774947675,0.0,625.2735179165691,147.0351945469793,75.8507786311868,392.0708292723761,1058.338593510524,1042.56118772613,978.7638503067632,82.74498657527431,23.1723294603061,618.029434189751,166.4595011764117,723.746122584306,452.69264196021504,62.4239176307524,556.3937926043909,59.8251353959329,623.164232010895,1003.029730007088,121.4836720428292,432.119816255914,186.8567184008151,286.289397023656,600.3496783059829
549.067815257167,752.887776964195,1007.037785745314,1052.216291006727,68.2686361725969,587.727077767242,443.356473081538,126.7830032403978,457.5893484816981,43.355194674837705,0.0,625.424576778405,147.0466147296935,75.81349835675641,392.108142574535,1058.527813872538,1042.733375143031,978.71456956231,82.5472867333377,23.2345117572787,617.967111643701,166.4866823384338,723.702501936477,452.665316083818,62.442901073834406,556.374701089472,59.8096820921743,623.1487085859351,1003.002251644162,121.4860695230724,432.135655794703,186.8409709502326,286.273642902805,600.333811173899
549.078593248052,752.8986908556781,1006.990521798275,1052.183546902967,68.2340513011864,587.654418323178,443.396831727184,126.8232504446724,457.720702712891,43.4138799591982,0.0,625.567052973498,147.05738727754,75.7783352210599,392.14333686965904,1058.706284521316,1042.895780542758,978.668086575012,82.3608155093224,23.2931640906358,617.908327075612,166.51232623143778,723.661354789928,452.63953972183,62.4608080617068,556.356692162859,59.7951053832863,623.134065737297,1002.976331449271,121.4883310547522,432.150597500193,186.8261164575979,286.258782113973,600.318843792582
549.088769259297,752.908995179751,1006.945882721632,1052.152613314282,68.201383403276,587.585804272718,443.434957638146,126.8612710665896,457.84475253091705,43.4693066156379,0.0,625.701608053042,147.06756246451698,75.74512575014651,392.176575775287,1058.874834316726,1043.049158116802,978.624185043248,82.1847063018592,23.3485595829245,617.8528067380939,166.5365535619901,723.6224889017169,452.615192444065,62.477722257811706,556.339681683993,59.781337232819,623.1202351191071,1002.951848319007,121.4904672038514,432.164711245656,186.8120855209463,286.244745226897,600.3047062315741
549.098389335039,752.918736560899,1006.903663275504,1052.1233463288709,68.170481497594,587.5209221124401,443.471027873305,126.8972416782988,457.962066489271,43.5217296676155,0.0,625.828859015897,147.0771872372118,75.7137174318879,392.208011937592,1059.03423634877,1043.194211307087,978.582663125927,82.0181506846438,23.4009531213662,617.800295161552,166.5594772594508,723.585724727719,452.592161775561,62.4937217990734,556.323591070401,59.7683141137029,623.107152915425,1002.928689149762,121.4924878384075,432.17806230451697,186.7988133227335,286.231467397584,600.29133317984
549.1074959843361,752.9279580440141,1006.863673377419,1052.095612351703,68.1412056075954,587.459481875745,443.505206748445,126.9313261437141,458.073170796946,43.5713853306101,0.0,625.949376972402,147.08630510857432,75.6839690500383,392.237786697033,1059.185206258833,1043.3315912782618,978.543333887844,81.86040017235919,23.4505807946958,617.750555718426,166.5812022052535,723.550895829457,452.570343451428,62.5088791188868,556.3083474757391,59.7559771510213,623.094759983666,1002.906749093958,121.4944021061373,432.190711201173,186.7862397766997,286.218888515238,600.278664093724
549.116128190047,752.9366991033869,1006.825738132972,1052.069288162771,68.11342680124599,587.401217133314,443.537645770128,126.9636755526178,458.178549276684,43.6184909713726,0.0,626.063687090964,147.09495614679878,75.65575070317689,392.266030069349,1059.328402166578,1043.46189685134,978.506025329982,81.7107663134461,23.497659852595,617.703370663667,166.601825181149,723.517848918986,452.549641444936,62.523260927554105,556.2938838094069,59.74427213605991,623.08300186868,1002.885931588277,121.4962184319888,432.20271369274496,186.7743095440708,286.20695321849496,600.2666432132551
549.124321500959,752.944995735979,1006.789697517333,1052.044260741738,68.0870269791442,587.345884446999,443.568483858984,126.9944284433889,458.278644302585,43.663245499838695,0.0,626.172269605557,147.103177042937,75.6289435630199,392.29286098744,1059.464425924415,1043.5856756456792,978.470580076427,81.5686193990897,23.542389097531803,617.658540741877,166.621434999236,723.486443603933,452.52996780779495,62.5369283232744,556.280138624947,59.733149433753496,623.0718287097841,1002.866148193033,121.4979445321374,432.214120859316,186.7629719415155,286.19561080334,600.2552194693831
549.132108183675,752.952880615213,1006.755405804526,1052.020426922922,68.06189848052989,587.293262429982,443.597847783036,127.0237112351549,458.37385844416497,43.7058300736937,0.0,626.275561588444,147.1110012354984,75.6034394445938,392.318387731574,1059.59382533006,1043.7034260929072,978.4368548131948,81.4333861732087,23.5849495890439,617.615884481289,166.640112764212,723.456551915541,452.511242374475,62.549936997531205,556.267055913455,59.7225638130229,623.061195070312,1002.847318294811,121.4995874399386,432.224979272769,186.7521807707619,286.18481505265504,600.24434631229
549.139517415786,752.960383286582,1006.722730818926,1051.997692928831,68.0379435598866,587.243150531763,443.625852741097,127.05163880961128,458.46455660619,43.7464090234471,0.0,626.373959260495,147.1184590754449,75.5791402439003,392.342708492184,1059.7170970122152,1043.8156000635458,978.404719552189,81.304546839743,23.6255055684025,617.57523726692,166.65793223060598,723.428057682765,452.493392370102,62.562337507488095,556.2545848296361,59.7124742225023,623.0510597123259,1002.829368712182,121.50115354032,432.235331221432,186.7418940926437,286.174524010178,600.233981483697
549.146575508026,752.967530392584,1006.691553056978,1051.975973812242,68.0150737679227,587.1953676256439,443.652603058675,127.07831520503832,458.55106852728,43.7851309387139,0.0,626.4678206909671,147.12557802093198,75.5559572792371,392.365912029141,1059.8346898045138,1043.922605937913,978.374056767518,81.18163155907911,23.6642055443736,617.5364502522641,166.674960231844,723.4008557926791,452.476351947144,62.5741755978491,556.2426793680891,59.70284352609,623.0413853309481,1002.812233229771,121.5026486104404,432.245214976125,186.7320739601016,286.16469971338904,600.224086747834
549.1533061466121,752.9743459181291,1006.661764712286,1051.955192827126,67.9932092598572,587.149750452958,443.67819297091,127.1038343970781,458.633691542141,43.82212987480981,0.0,626.55746878421,147.13238285454258,75.5338105610396,392.388078402526,1059.947008479467,1044.024812004613,978.344760436764,81.0642165664803,23.701183499197697,617.499389150507,166.6912571658026,723.374851364674,452.460061668067,62.585492560262,556.231298001866,59.69363820813941,623.032138258222,1002.7958520780352,121.50407786507132,432.254665087712,186.72268612006008,286.155307895261,600.214627591035
549.159730647971,752.980851448455,1006.633268634648,1051.935280747562,67.9722780523814,587.1061519735,443.702707468635,127.1282811425055,458.712693520221,43.8575266418569,0.0,626.643194458897,147.1388959162701,75.5126280132369,392.409279751952,1060.054417724713,1044.122550079444,978.316735017275,80.9519200346637,23.7365601770464,617.4639329431011,166.7068775220256,723.34995886404,452.444467950054,62.5963256190755,556.220403294505,59.684828057509,623.023288145723,1002.780171374854,121.5054460053199,432.263712706988,186.71369969342788,286.14631766412504,600.2055728993009
549.1658682173429,752.987066430996,1006.6059772576508,1051.916175157267,67.9522152542178,587.064439676882,443.72622317936,127.1517318577724,458.788315883136,43.8914301336019,0.0,626.725259914369,147.14513734444262,75.4923446720476,392.42958109851,1060.157246229424,1044.216119224407,978.289894391522,80.84439781807009,23.770444412143902,617.4299725486039,166.7218704331379,723.326101184449,452.429522490213,62.606708330628194,556.209961498457,59.6763858409454,623.014807636447,1002.765142547544,121.5067572690574,432.272385916237,186.70508684386488,286.137701172298,600.1968946245411
549.171736202213,752.993008432006,1006.579811533622,1051.897819736167,67.93296229810099,587.024493915162,443.74880925061495,127.1742554999252,458.860776592461,43.9239386477753,0.0,626.80390186639,147.15112531587062,75.47290189102429,392.44904114038,1060.255790733731,1044.3057894329609,978.26416081969,80.7413392323416,23.80293444842,617.39740949999,166.7362802297956,723.303208732813,452.415181692293,62.6166709815331,556.199942154544,59.6682869777044,623.0066720379621,1002.750721756364,121.5080154812198,432.280710060317,186.6968224474104,286.129433285569,600.188567451686
549.17735033174,752.9986933790019,1006.554699914676,1051.88016357085,67.9144662028927,586.986206316165,443.770528202491,127.1959144168214,458.930273000306,43.9551411499171,0.0,626.8793346357061,147.1568762763054,75.454246581291,392.467713013273,1060.350319894942,1044.391805148441,978.239463937597,80.6424630217914,23.8341192026663,617.36615467863,166.7501469781531,723.281218550308,452.401406116055,62.6262409711955,556.190317707255,59.6605092273694,622.9988590088,1002.736869340798,121.50922410211231,432.28870806502096,186.6888837751627,286.121491265749,600.180568478956
